date,fs,wd,md,fh
2016/7/1 0:00,6.4,20.7,1.1,994
2016/7/1 0:15,8.04,20.6,1.1,762
2016/7/1 0:30,7.1,20.5,1.1,892
2016/7/1 0:45,7.5,20.5,1.1,844.6667
2016/7/1 1:00,6.8,20.5322,1.1,583.5
2016/7/1 1:15,7.45,20.6,1.1,761
2016/7/1 1:30,8.02,20.6,1.1,918.5
2016/7/1 1:45,6.3,20.6,1.1,556.6667
2016/7/1 2:00,6.8,20.6,1.1,721
2016/7/1 2:15,8.6,20.6757,1.1,1160
2016/7/1 2:30,5.8,20.7,1.1,552
2016/7/1 2:45,7.55,20.7,1.1,1294
2016/7/1 3:00,6.3,20.7,1.1,412
2016/7/1 3:15,9.14,20.7715,1.1,1370.6667
2016/7/1 3:30,5.5333,20.8,1.1,258.6667
2016/7/1 3:45,6.4,20.8059,1.1,290
2016/7/1 4:00,6.05,21,1.1,280
2016/7/1 4:15,6.3,20.9571,1.1,414.5
2016/7/1 4:30,6,21,1.1,404
2016/7/1 4:45,6.7,21.0514,1.1,497
2016/7/1 5:00,5.3,21.1,1.1,356
2016/7/1 5:15,6.1286,21.1,1.1,371.5
2016/7/1 5:30,6.2333,21.1,1.1,486.6667
2016/7/1 5:45,6.05,21.1,1.1,458.5
2016/7/1 6:00,5.9,21.1,1.1,565
2016/7/1 6:15,5.35,21.1,1.1,187
2016/7/1 6:30,6.1,21.1,1.1,294
2016/7/1 6:45,6.6,21.1,1.1,419
2016/7/1 7:00,6.65,21.1,1.1,631
2016/7/1 7:15,5.8,21.1,1.1,506
2016/7/1 7:30,5.65,21.1981,1.1,231.5
2016/7/1 7:45,6.64,21.2,1.1,603
2016/7/1 8:00,5.9,21.3,1.1,320
2016/7/1 8:15,5.7333,21.5759,1.1,418
2016/7/1 8:30,5.58,21.6987,1.1,326
2016/7/1 8:45,5.8,21.8341,1.1,342
2016/7/1 9:00,6.05,21.9991,1.1,507
2016/7/1 9:15,7.62,22.1563,1.1,729
2016/7/1 9:30,5.4,22.7203,1.1,452
2016/7/1 9:45,6.06,23.049,1.1,521
2016/7/1 10:00,8.35,23.1,1.1,1129.5
2016/7/1 10:15,6.7,23.4222,1.1,468
2016/7/1 10:30,7.8333,23.5048,1.1,776.6667
2016/7/1 10:45,7.6667,24.3025,1.1,444
2016/7/1 11:00,8.6,24.0943,1.1,938.3333
2016/7/1 11:15,7.1,24.1398,1.1,721
2016/7/1 11:30,8.1667,24.5287,1.1,1243.6667
2016/7/1 11:45,7.85,24.6217,1.1,577
2016/7/1 12:00,7.3,24.9797,1.1,677
2016/7/1 12:15,5.4,25.1556,1.1,298.5
2016/7/1 12:30,6.4,25.2308,1.1,613
2016/7/1 12:45,6.05,25.4832,1.1,256
2016/7/1 13:00,5.3,26.1,1.1,324
2016/7/1 13:15,5.7,26.4683,1.1,197.5
2016/7/1 13:30,6.26,26.4,1.1,405.3333
2016/7/1 13:45,5.7,26.8333,1.1,259.6
2016/7/1 14:00,5.3333,26.7,1.1,284.3333
2016/7/1 14:15,5.6333,27.087,1.1,333.6667
2016/7/1 14:30,4.5429,27.1,1.1,134.5
2016/7/1 14:45,4.9,27.6733,1.1,140
2016/7/1 15:00,2.9091,27.4,1.1,-1
2016/7/1 15:15,4.8333,27.5265,1.1,138.3333
2016/7/1 15:30,4.12,27.5,1.1,66.6667
2016/7/1 15:45,1.2,28.1348,1.1,0
2016/7/1 16:00,2.4,28.2419,1.1,0
2016/7/1 16:15,5.5,27.5122,1.1,216.5
2016/7/1 16:30,4.8,26.7897,1.1,135
2016/7/1 16:45,6.6,25.9587,1.1,457.3333
2016/7/1 17:00,5.66,25.2,1.1,488.3333
2016/7/1 17:15,6.32,24.5174,1.1,520
2016/7/1 17:30,6.5,24.2728,1.1,570
2016/7/1 17:45,6.6,24.0007,1.1,413
2016/7/1 18:00,5.5,23.6542,1.1,299.5
2016/7/1 18:15,5.6,23.2341,1.1,225.3333
2016/7/1 18:30,6.6,22.6827,1.1,579
2016/7/1 18:45,5.975,22.34,1.1,418.5
2016/7/1 19:00,6.48,22.0666,1.1,447
2016/7/1 19:15,8.4,22,1.1,883
2016/7/1 19:30,7.6,22,1.1,1072
2016/7/1 19:45,8.1667,21.8355,1.1,1110.6667
2016/7/1 20:00,8.5,21.7,1.1,998
2016/7/1 20:15,6.8,21.6,1.1,745
2016/7/1 20:30,7.65,21.5,1.1,962
2016/7/1 20:45,7.0667,21.5,1.1,760.3333
2016/7/1 21:00,6.3,21.5,1.1,453
2016/7/1 21:15,5.7,21.5601,1.1,298
2016/7/1 21:30,5.5,21.6,1.1,294
2016/7/1 21:45,6.25,21.6,1.1,413.5
2016/7/1 22:00,6.2,21.6,1.1,304
2016/7/1 22:15,5.4,21.6,1.1,218
2016/7/1 22:30,6.5143,21.5156,1.1,501
2016/7/1 22:45,5.3,21.5,1.1,176.6667
2016/7/1 23:00,4.8667,21.5,1.1,229.6667
2016/7/1 23:15,5.98,21.4571,1.1,312.1429
2016/7/1 23:30,5.7,21.4,1.1,233
2016/7/1 23:45,4.4333,21.4,1.1,63
2016/7/2 0:00,4.2,21.4,1.1,108
2016/7/2 0:15,5.025,21.3247,1.1,149
2016/7/2 0:30,5.1333,21.3667,1.1,136
2016/7/2 0:45,4.5,21.4,1.1,113.5
2016/7/2 1:00,4.85,21.2573,1.1,86.2
2016/7/2 1:15,4.6857,21.3,1.1,116
2016/7/2 1:30,4.6333,21.3,1.1,105
2016/7/2 1:45,5.5,21.3,1.1,227
2016/7/2 2:00,5.0667,21.3975,1.1,157.3333
2016/7/2 2:15,5.1,21.3,1.1,192
2016/7/2 2:30,5.7571,21.3,1.1,212
2016/7/2 2:45,5.68,21.2,1.1,200.3333
